ID,Épica,Historia,Como,Quiero,Para,Prioridad,Sprint,Criterios de Aceptación,Estado,Review,Responsable,Observaciones
HU48,EP07,Trabajar de forma colaborativa en GitHub,Equipo de desarrollo,Gestionar el código del proyecto en un repositorio compartido,Dejar evidencia del trabajo colaborativo exigido por la rúbrica,Alta,Sprint 01,"CA1: Dado el proyecto, cuando se revisa el repositorio, entonces todos los integrantes registran commits propios. CA2: Dado un commit, cuando se revisa su mensaje, entonces describe el cambio realizado de forma comprensible. CA3: Dado el repositorio, cuando se revisa su estructura, entonces incluye un README con la descripción del proyecto y los integrantes. CA4: Dado un avance de una funcionalidad, cuando se integra, entonces se realiza mediante una rama y su correspondiente fusión a la rama principal.",Pendiente,Pendiente,Florencia Soto,Transversal. Repositorio configurado en Sprint 1.
HU76,EP01,Definir los actores del sistema,Equipo de desarrollo,Identificar y documentar los actores del sistema,Delimitar los roles que interactúan con EduSaldo,Alta,Sprint 01,"CA1: Dado el inicio del proyecto, cuando el equipo lo analiza, entonces documenta los actores Administrador, Vendedor, Apoderado y Visitante. CA2: Dado cada actor, cuando se documenta, entonces se describe su objetivo principal y sus funciones permitidas. CA3: Dado el conjunto de actores, cuando se revisa el ERS, entonces cada uno aparece con nombre, descripción y responsabilidades.",Pendiente,Pendiente,Florencia Soto,Entregable del Sprint 1.
HU77,EP01,Definir el alcance del producto,Equipo de desarrollo,Documentar el alcance del proyecto,Delimitar qué se construye en E1 y qué queda para E2/E3,Alta,Sprint 01,"CA1: Dado el inicio del proyecto, cuando el equipo lo analiza, entonces documenta los módulos incluidos en E1. CA2: Dado el alcance definido, cuando se revisa el ERS, entonces cada módulo tiene una descripción de límites y exclusiones. CA3: Dado el alcance, cuando se compara con el backlog, entonces no hay HUs fuera de los módulos declarados.",Pendiente,Pendiente,Florencia Soto,Entregable del Sprint 1.
HU78,EP01,Construir el Product Backlog priorizado,Equipo de desarrollo,Construir y priorizar el backlog,Contar con la lista ordenada de HUs que guiará los sprints,Alta,Sprint 01,"CA1: Dado el análisis del dominio, cuando el equipo lo redacta, entonces existe un backlog con todas las HUs del proyecto. CA2: Dado el backlog, cuando se prioriza, entonces cada HU tiene un valor Alta, Media o Baja justificado. CA3: Dado el backlog, cuando se revisa, entonces las HUs están agrupadas por épica con identificadores únicos.",Pendiente,Pendiente,Florencia Soto,Entregable del Sprint 1.
HU79,EP01,Redactar criterios de aceptación verificables,Equipo de desarrollo,Redactar criterios de aceptación en formato BDD,Permitir que cada criterio se traduzca en un test,Alta,Sprint 01,"CA1: Dado una HU del backlog, cuando el equipo redacta su criterio, entonces usa el formato Dado-Cuando-Entonces. CA2: Dado el criterio redactado, cuando se revisa, entonces contiene resultado observable y verificable. CA3: Dado el conjunto de criterios, cuando se auditan, entonces no hay criterios ambiguos ni juicios de valor.",Pendiente,Pendiente,Florencia Soto,Entregable del Sprint 1.
HU80,EP01,Redactar la Especificación de Requisitos,Equipo de desarrollo,Redactar la ERS inicial del proyecto,Dejar formalizado el análisis de requisitos,Alta,Sprint 01,"CA1: Dado el análisis del dominio, cuando el equipo lo documenta, entonces existe un archivo ERS con actores, alcance, requisitos funcionales y no funcionales. CA2: Dado el ERS, cuando se revisa, entonces cada requisito tiene un identificador y una descripción verificable. CA3: Dado el ERS, cuando se compara con el backlog, entonces ambos son consistentes.",Pendiente,Pendiente,Florencia Soto,Entregable del Sprint 1.
HU81,EP01,Estimar historias con Story Points,Equipo de desarrollo,Estimar el esfuerzo de cada HU en SP,Planificar la carga de trabajo por sprint,Alta,Sprint 01,"CA1: Dado el backlog priorizado, cuando el equipo estima, entonces cada HU tiene un valor en SP (1, 2, 3, 5, 8, 13). CA2: Dado el conjunto de estimaciones, cuando se revisa, entonces la suma por sprint es coherente con la capacidad del equipo. CA3: Dado un cambio de alcance, cuando se revisa, entonces la estimación se actualiza.",Pendiente,Pendiente,Florencia Soto,Entregable del Sprint 1.
HU01,EP01,Visualizar la página principal,Cliente / Apoderado,Visualizar la página principal de EduSaldo,Conocer la tienda y acceder a sus funciones principales,Alta,Sprint 02,"CA1: Dado un visitante que accede a la raíz del sitio, cuando se carga la página principal, entonces visualiza el logo, la barra de navegación y el acceso al carrito. CA2: Dado que la página principal está cargada, cuando el visitante la recorre, entonces visualiza la imagen y la información principal de la tienda. CA3: Dado que existen productos destacados, cuando se carga la página principal, entonces cada producto destacado se muestra con imagen, nombre y precio. CA4: Dado que el visitante llega al final de la página, cuando la recorre completa, entonces visualiza el footer con el nombre del establecimiento. CA5: Dado un enlace principal del sitio, cuando el visitante lo selecciona, entonces el sistema lo lleva a la vista correspondiente.",Pendiente,Pendiente,Florencia Soto,index.html. Estructura HTML en Sprint 2.
HU02,EP01,Navegar mediante la barra de navegación,Cliente / Apoderado,Navegar entre las páginas públicas usando la barra de navegación,Acceder fácilmente a la página que necesito,Alta,Sprint 02,"CA1: Dado cualquier página pública del sitio, cuando el usuario la carga, entonces la barra de navegación aparece en la misma posición y con las mismas opciones. CA2: Dado un enlace de la barra de navegación, cuando el usuario lo selecciona, entonces el sistema muestra la vista correcta. CA3: Dado el conjunto de enlaces principales, cuando se verifican uno a uno, entonces ninguno devuelve error de página no encontrada. CA4: Dado que el usuario está en una vista pública distinta de Home, cuando selecciona el logo o la opción Inicio, entonces vuelve a la página principal. CA5: Dado cualquier apoderado autenticado, cuando se carga la cabecera, entonces visualiza el nombre del establecimiento activo.",Pendiente,Pendiente,Florencia Soto,Header inyectado vía header-footer.js. Estructura en Sprint 2.
HU04,EP01,Visualizar el listado del Blog,Cliente / Apoderado,Visualizar el listado de noticias del Blog,Mantenerme informado sobre contenidos relacionados con la tienda,Media,Sprint 02,"CA1: Dado un visitante en el menú principal, cuando selecciona Blog, entonces visualiza las noticias en formato de lista. CA2: Dado que existen noticias publicadas, cuando se carga el listado, entonces cada noticia muestra imagen, título y descripción corta. CA3: Dado que existen más de diez noticias, cuando se carga el listado, entonces se muestran diez por página con controles de paginación. CA4: Dado un conjunto de noticias con distintas fechas, cuando se carga el listado, entonces aparecen ordenadas de más reciente a más antigua. CA5: Dado una noticia del listado, cuando el visitante la selecciona, entonces accede a su vista de detalle.",Pendiente,Pendiente,Florencia Soto,pages/publico/blog.html. Estructura en Sprint 2.
HU05,EP01,Consultar el detalle de una noticia,Cliente / Apoderado,Consultar el detalle de una noticia del Blog,Leer el contenido completo de un artículo publicado,Media,Sprint 02,"CA1: Dado una noticia del listado, cuando el visitante selecciona ver detalle, entonces visualiza su imagen, título y descripción extensa. CA2: Dado que el sitio debe cumplir la pauta, cuando se revisa el proyecto, entonces existen al menos dos vistas de detalle de Blog construidas. CA3: Dado un visitante en el detalle de una noticia, cuando selecciona volver, entonces regresa al listado del Blog o a la página principal.",Pendiente,Pendiente,Florencia Soto,pages/publico/blog-detalle.html. Estructura en Sprint 2.
HU09,EP01,Consultar cómo funciona EduSaldo,Visitante / Apoderado,Consultar cómo funciona la plataforma,Entender su funcionamiento antes de usar la plataforma,Baja,Sprint 02,"CA1: Dado un visitante en cualquier página pública, cuando selecciona la opción Cómo funciona del menú, entonces accede a la vista Cómo funciona. CA2: Dado que la vista Cómo funciona está cargada, cuando el visitante la lee, entonces encuentra explicado el flujo de aportes, confirmación y uso del saldo. CA3: Dado que la vista Cómo funciona está cargada, cuando el visitante la recorre, entonces al menos un bloque de contenido explica el rol del apoderado, otro el del centro general y otro el de la biblioteca. CA4: Dado que la vista Cómo funciona está cargada, cuando se compara con el resto del sitio, entonces mantiene la misma paleta, tipografía y estructura.",Pendiente,Pendiente,Florencia Soto,pages/publico/como-funciona.html. Estructura en Sprint 2.
HU10,EP02,Registrar la cuenta de un apoderado,Administrador,Crear la cuenta de un apoderado desde el panel administrativo,Habilitar el acceso de un apoderado que no quedó en la nómina inicial,Alta,Sprint 02,"CA1: Dado el formulario de alta de apoderado, cuando el administrador ingresa el RUN en cualquiera de sus formatos (con o sin puntos, con o sin guion, con o sin dígito verificador) y el RUN es válido, entonces el campo se acepta. CA2: Dado el formulario de alta de apoderado, cuando el RUN está vacío, contiene caracteres inválidos o presenta un dígito verificador incorrecto, entonces el sistema impide guardar. CA3: Dado el formulario de alta de apoderado, cuando el administrador ingresa un nombre de hasta 50 caracteres y apellidos de hasta 100, entonces los campos se aceptan. CA4: Dado el formulario de alta de apoderado, cuando el administrador ingresa un correo de hasta 100 caracteres con formato válido, entonces el campo se acepta. CA5: Dado el formulario de alta de apoderado, cuando el administrador ingresa un correo con formato inválido, entonces el sistema lo rechaza con un mensaje específico. CA6: Dado el formulario de alta de apoderado, cuando el administrador ingresa una dirección de hasta 300 caracteres, entonces el campo se acepta. CA7: Dado el formulario de alta de apoderado, cuando falta el correo, la dirección, la región o la comuna, entonces el sistema impide guardar y marca los campos pendientes. CA8: Dado el formulario de alta de apoderado, cuando se carga, entonces no existe ningún campo para definir la contraseña. CA9: Dado un formulario con datos válidos, cuando el administrador confirma el alta, entonces el sistema crea la cuenta con perfil Cliente, genera una contraseña temporal y la envía al correo registrado. CA10: Dado el apoderado creado, cuando inicia sesión por primera vez, entonces el sistema lo obliga a cambiar la contraseña y a registrar su consentimiento según HU15 y HU06.",Pendiente,Pendiente,Antonio Jara,Alta de apoderados desde pages/administrador/usuario-crear.html. Sustituye el autorregistro público.
HU11,EP02,Seleccionar la región de residencia,Administrador,Seleccionar la región de residencia del usuario,Registrar correctamente su ubicación,Alta,Sprint 02,"CA1: Dado el formulario administrativo de usuario, cuando se carga la página, entonces el selector de región se llena desde un arreglo JavaScript. CA2: Dado el selector de región, cuando el administrador elige una región, entonces el campo se acepta y se habilita el selector de comuna.",Pendiente,Pendiente,Antonio Jara,Aplica en el formulario administrativo de usuario (pages/administrador/usuarios.html).
HU12,EP02,Seleccionar la comuna dentro de la región,Administrador,Seleccionar la comuna correspondiente a la región elegida,Registrar una ubicación sin combinaciones inválidas,Alta,Sprint 02,"CA1: Dado el selector de región con una región seleccionada, cuando se carga, entonces el selector de comunas se recarga solo con las comunas de esa región. CA2: Dado que el administrador ya eligió una comuna, cuando cambia de región, entonces la comuna previamente seleccionada se limpia. CA3: Dado un formulario enviado, cuando la comuna no pertenece a la región seleccionada, entonces el sistema rechaza el envío con un mensaje específico.",Pendiente,Pendiente,Antonio Jara,Aplica en el formulario administrativo de usuario (pages/administrador/usuarios.html).
HU13,EP02,Iniciar sesión en el sistema,Cliente / Vendedor / Administrador,Iniciar sesión con correo y contraseña,Acceder a las funciones correspondientes a mi perfil,Alta,Sprint 02,"CA1: Dado el formulario de login, cuando el usuario ingresa un correo de hasta 100 caracteres con formato válido, entonces el campo se acepta. CA2: Dado el formulario de login, cuando el usuario ingresa una contraseña de entre 4 y 10 caracteres, entonces el campo se acepta. CA3: Dado un formulario de login, cuando los datos son inválidos o están incompletos, entonces el sistema muestra un mensaje específico por campo y no procesa el envío. CA4: Dado un usuario registrado, cuando ingresa credenciales válidas, entonces el sistema permite el acceso y lo dirige al área correspondiente a su perfil.",Pendiente,Pendiente,Antonio Jara,pages/acceso/login.html. Estructura en Sprint 2.
HU17,EP03,Visualizar el catálogo de productos,Apoderado,Visualizar el catálogo de productos,Conocer los artículos disponibles en la librería,Alta,Sprint 02,"CA1: Dado un apoderado autenticado, cuando ingresa al catálogo, entonces el listado se genera a partir de un arreglo JavaScript de productos. CA2: Dado un visitante sin sesión que intenta acceder al catálogo, cuando abre la URL directamente, entonces el sistema lo redirige al login. CA3: Dado que existen productos disponibles, cuando se carga el catálogo, entonces cada producto se muestra con imagen, nombre y precio. CA4: Dado un producto del catálogo, cuando el apoderado lo selecciona, entonces accede a su vista de detalle. CA5: Dado un producto del catálogo, cuando el apoderado visualiza su tarjeta, entonces existe un botón para añadirlo al carrito.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html. Estructura en Sprint 2.
HU18,EP03,Consultar el detalle de un producto,Apoderado,Consultar el detalle de un producto del catálogo,Tomar una decisión de compra con mayor información,Alta,Sprint 02,"CA1: Dado un apoderado autenticado, cuando selecciona ver detalle de un producto, entonces visualiza su imagen, nombre, descripción y precio. CA2: Dado la vista de detalle, cuando el producto admite más de una unidad, entonces el apoderado puede seleccionar la cantidad antes de agregarlo. CA3: Dado la vista de detalle, cuando el apoderado la recorre, entonces encuentra un botón para añadir al carrito y el acceso al carrito visible. CA4: Dado la vista de detalle, cuando el apoderado selecciona volver, entonces regresa al listado de productos.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/producto-detalle.html. Estructura en Sprint 2.
HU25,EP04,Enviar una consulta por el formulario de contacto,Cliente / Apoderado,Enviar un mensaje a través del formulario de contacto,"Comunicar una duda, comentario o solicitud a la librería",Alta,Sprint 02,"CA1: Dado el formulario de contacto, cuando el usuario ingresa un nombre de hasta 100 caracteres, entonces el campo se acepta. CA2: Dado el formulario de contacto, cuando el usuario ingresa un correo de hasta 100 caracteres con formato válido, entonces el campo se acepta; en caso contrario se rechaza. CA3: Dado el formulario de contacto, cuando el usuario ingresa un comentario de hasta 500 caracteres, entonces el campo se acepta. CA4: Dado un formulario con datos inválidos, cuando el usuario intenta enviarlo, entonces el sistema impide el procesamiento y muestra un mensaje específico junto a cada campo con error. CA5: Dado un formulario con datos válidos, cuando el usuario lo envía, entonces el sistema confirma que la consulta fue recibida.",Pendiente,Pendiente,Pamela Acuña,pages/publico/contacto.html. Estructura en Sprint 2.
HU26,EP05,Acceder al Home administrativo,Administrador,Acceder al Home del sistema administrativo,Gestionar productos y usuarios desde un lugar central,Alta,Sprint 02,"CA1: Dado un usuario con perfil Administrador autenticado, cuando ingresa al área administrativa, entonces visualiza la vista Home administrativa. CA2: Dado la vista Home administrativa, cuando se carga, entonces muestra un menú visible de forma permanente. CA3: Dado la vista Home administrativa, cuando se carga, entonces el área central identifica al administrador que inició sesión. CA4: Dado el menú administrativo, cuando el administrador lo utiliza, entonces puede acceder al mantenedor de productos y al de usuarios.",Pendiente,Pendiente,Antonio Jara,pages/administrador/inicio.html. Estructura en Sprint 2.
HU34,EP05,Acceder al home de librería,Vendedor,Acceder al home operativo de la librería,Gestionar reservas y ventas desde un lugar central,Alta,Sprint 02,"CA1: Dado un usuario con perfil Vendedor autenticado, cuando ingresa al área de librería, entonces visualiza la vista Home operativa. CA2: Dado la vista Home de librería, cuando se carga, entonces muestra un menú con acceso a reservas, productos, stock, nómina y ventas del día. CA3: Dado el menú de librería, cuando el vendedor lo utiliza, entonces puede navegar a cada una de las vistas operativas.",Pendiente,Pendiente,Antonio Jara,pages/libreria/inicio.html. Estructura en Sprint 2.
HU45,EP07,Estructurar las páginas con HTML semántico,Equipo de desarrollo,Construir las vistas usando etiquetas HTML semánticas,Entregar un frontend mantenible y accesible conforme a la rúbrica,Alta,Sprint 02,"CA1: Dado cualquier página del sitio, cuando se revisa su código, entonces utiliza header, nav, main, section, article, aside y footer según corresponda. CA2: Dado cualquier página, cuando se revisa su jerarquía, entonces existe un único h1 y los encabezados siguen un orden correlativo sin saltos. CA3: Dado una imagen de contenido, cuando se revisa su marcado, entonces incluye el atributo alt descriptivo. CA4: Dado un campo de formulario, cuando se revisa su marcado, entonces está asociado a una etiqueta label mediante el atributo for. CA5: Dado cualquier página, cuando se valida en el validador del W3C, entonces no presenta errores de estructura.",Pendiente,Pendiente,Florencia Soto,Transversal. Estructura semántica en Sprint 2.
HU14,EP02,Asignar un perfil a un usuario,Administrador,"Asignar el perfil Administrador, Vendedor o Cliente a una cuenta",Controlar las funciones visibles para cada tipo de usuario,Alta,Sprint 03,"CA1: Dado el formulario administrativo de usuario, cuando el administrador lo abre, entonces existe un selector de tipo de usuario con las opciones Administrador, Cliente y Vendedor. CA2: Dado un usuario con perfil Administrador, cuando inicia sesión, entonces accede a todas las funciones del sistema. CA3: Dado un usuario con perfil Vendedor, cuando inicia sesión, entonces visualiza únicamente los accesos autorizados para su rol. CA4: Dado un usuario con perfil Cliente, cuando inicia sesión, entonces accede únicamente a la tienda. CA5: Dado un usuario existente, cuando el administrador cambia su perfil y guarda, entonces el sistema asocia el nuevo perfil y ajusta sus accesos.",Pendiente,Pendiente,Antonio Jara,pages/administrador/usuarios.html. Vista completa en Sprint 3.
HU15,EP02,Cambiar la contraseña temporal,Usuario registrado,Reemplazar la contraseña temporal por una definida por mí,Acceder con una clave que solo yo conozco,Alta,Sprint 03,"CA1: Dado un usuario creado por un administrador, cuando inicia sesión por primera vez con la contraseña temporal, entonces el sistema lo redirige de forma obligatoria a la pantalla de cambio. CA2: Dado un usuario con contraseña temporal vigente, cuando intenta acceder a cualquier otra vista, entonces el sistema lo devuelve a la pantalla de cambio. CA3: Dado el formulario de cambio, cuando el usuario ingresa una nueva contraseña de entre 4 y 10 caracteres, entonces el campo se acepta. CA4: Dado el formulario de cambio, cuando la confirmación no coincide con la nueva contraseña, entonces el sistema impide guardar y muestra un mensaje específico. CA5: Dado el formulario de cambio, cuando la nueva contraseña es igual a la temporal, entonces el sistema la rechaza y explica el motivo. CA6: Dado un cambio confirmado, cuando el usuario vuelve a iniciar sesión, entonces solo la nueva contraseña le permite el acceso y la temporal queda invalidada. CA7: Dado un usuario que ya cambió su contraseña, cuando inicia sesión, entonces accede directamente sin pasar por esta pantalla.",Pendiente,Pendiente,Antonio Jara,pages/acceso/cambiar-contrasena.html. Vista en Sprint 3.
HU16,EP02,Cerrar sesión,Usuario autenticado,Cerrar sesión,Terminar mi actividad de forma segura,Alta,Sprint 03,"CA1: Dado un usuario autenticado en cualquier vista, cuando se carga la cabecera, entonces visualiza un botón de cerrar sesión. CA2: Dado un usuario que selecciona cerrar sesión, cuando el sistema procesa la acción, entonces invalida el token y lo redirige al login. CA3: Dado un usuario que cerró sesión, cuando intenta volver con el botón atrás del navegador, entonces el sistema lo redirige al login. CA4: Dado un usuario que cierra el navegador sin cerrar sesión, cuando transcurre el tiempo de inactividad configurado, entonces la sesión expira automáticamente.",Pendiente,Pendiente,Antonio Jara,Botón en el header inyectado. Vista en Sprint 3.
HU27,EP05,Visualizar el listado de productos,Administrador / Vendedor,Visualizar el listado administrativo de productos,Revisar el catálogo y acceder a sus acciones de gestión,Alta,Sprint 03,"CA1: Dado que existen productos registrados, cuando el administrador ingresa al mantenedor, entonces visualiza el listado en una tabla legible. CA2: Dado un registro del listado, cuando el administrador lo revisa, entonces dispone de las acciones de ver detalle y editar. CA3: Dado el listado de productos, cuando el administrador lo visualiza, entonces existe un acceso para crear un nuevo producto. CA4: Dado un usuario con perfil Vendedor, cuando accede al listado, entonces puede visualizar pero no acceder a las acciones de creación ni edición.",Pendiente,Pendiente,Antonio Jara,Vista compartida por rol: pages/administrador/productos.html y pages/libreria/productos.html. Vista en Sprint 3.
HU28,EP05,Crear un producto,Administrador,Crear productos en el catálogo,Incorporar nuevos artículos con sus datos de venta e inventario,Alta,Sprint 03,"CA1: Dado el formulario de producto, cuando el administrador ingresa un código de texto de al menos 3 caracteres, entonces el campo se acepta. CA2: Dado el formulario de producto, cuando ingresa un nombre de hasta 100 caracteres, entonces el campo se acepta. CA3: Dado el formulario de producto, cuando ingresa una descripción de hasta 500 caracteres o la deja vacía, entonces el campo se acepta. CA4: Dado el formulario de producto, cuando ingresa un precio mayor o igual a cero, admitiendo decimales, entonces el campo se acepta. CA5: Dado el formulario de producto, cuando ingresa un stock entero mayor o igual a cero, entonces el campo se acepta. CA6: Dado el formulario de producto, cuando ingresa un stock crítico entero mayor o igual a cero o lo deja vacío, entonces el campo se acepta. CA7: Dado el formulario de producto, cuando no selecciona una categoría, entonces el sistema impide guardar y muestra un mensaje específico. CA8: Dado un formulario con todos los datos válidos, cuando el administrador guarda, entonces el producto queda disponible en el listado. CA9: Dado un formulario con datos inválidos, cuando el administrador intenta guardar, entonces el sistema muestra un mensaje personalizado junto a cada campo con error.",Pendiente,Pendiente,Antonio Jara,Modal o página de creación accesible desde pages/administrador/productos.html. Vista en Sprint 3.
HU29,EP05,Editar un producto,Administrador,Editar los productos existentes del catálogo,Mantener actualizados sus datos de venta e inventario,Alta,Sprint 03,"CA1: Dado un registro del listado de productos, cuando el administrador selecciona Editar, entonces se abre el formulario cargado con los datos actuales del producto. CA2: Dado el formulario de edición, cuando se carga, entonces el código se muestra en modo solo lectura y no puede modificarse. CA3: Dado el formulario de edición, cuando el administrador modifica nombre, descripción, precio, stock, stock crítico, categoría o imagen, entonces se aplican las mismas validaciones definidas en HU28. CA4: Dado un formulario de edición con datos inválidos, cuando el administrador intenta guardar, entonces el sistema impide el guardado y muestra un mensaje personalizado junto al campo con error. CA5: Dado un formulario de edición con datos válidos, cuando el administrador guarda, entonces el sistema confirma la operación y el listado refleja la información actualizada. CA6: Dado un formulario de edición con cambios sin guardar, cuando el administrador selecciona cancelar, entonces vuelve al listado y el producto conserva sus datos originales.",Pendiente,Pendiente,Antonio Jara,pages/administrador/producto-editar.html. Vista en Sprint 3.
